"","Year","Warhead","Number","Yield"
"1",1945,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"2",1945,"AGM-28B (W28)",NA,"70-1,450Kt"
"3",1945,"AGM-69A (W69)",NA,"170-200Kt"
"4",1945,"AGM-86B (W80-1)",NA,"5-150Kt (Variable Yield)"
"5",1945,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"6",1946,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"7",1946,"AGM-28B (W28)",NA,"70-1,450Kt"
"8",1946,"AGM-69A (W69)",NA,"170-200Kt"
"9",1946,"AGM-86B (W80-1)",NA,"5-150Kt (Variable Yield)"
"10",1946,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"11",1947,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"12",1947,"AGM-28B (W28)",NA,"70-1,450Kt"
"13",1947,"AGM-69A (W69)",NA,"170-200Kt"
"14",1947,"AGM-86B (W80-1)",NA,"5-150Kt (Variable Yield)"
"15",1947,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"16",1948,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"17",1948,"AGM-28B (W28)",NA,"70-1,450Kt"
"18",1948,"AGM-69A (W69)",NA,"170-200Kt"
"19",1948,"AGM-86B (W80-1)",NA,"5-150Kt (Variable Yield)"
"20",1948,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"21",1949,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"22",1949,"AGM-28B (W28)",NA,"70-1,450Kt"
"23",1949,"AGM-69A (W69)",NA,"170-200Kt"
"24",1949,"AGM-86B (W80-1)",NA,"5-150Kt (Variable Yield)"
"25",1949,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"26",1950,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"27",1950,"AGM-28B (W28)",NA,"70-1,450Kt"
"28",1950,"AGM-69A (W69)",NA,"170-200Kt"
"29",1950,"AGM-86B (W80-1)",NA,"5-150Kt (Variable Yield)"
"30",1950,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"31",1951,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"32",1951,"AGM-28B (W28)",NA,"70-1,450Kt"
"33",1951,"AGM-69A (W69)",NA,"170-200Kt"
"34",1951,"AGM-86B (W80-1)",NA,"5-150Kt (Variable Yield)"
"35",1951,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"36",1952,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"37",1952,"AGM-28B (W28)",NA,"70-1,450Kt"
"38",1952,"AGM-69A (W69)",NA,"170-200Kt"
"39",1952,"AGM-86B (W80-1)",NA,"5-150Kt (Variable Yield)"
"40",1952,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"41",1953,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"42",1953,"AGM-28B (W28)",NA,"70-1,450Kt"
"43",1953,"AGM-69A (W69)",NA,"170-200Kt"
"44",1953,"AGM-86B (W80-1)",NA,"5-150Kt (Variable Yield)"
"45",1953,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"46",1954,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"47",1954,"AGM-28B (W28)",NA,"70-1,450Kt"
"48",1954,"AGM-69A (W69)",NA,"170-200Kt"
"49",1954,"AGM-86B (W80-1)",NA,"5-150Kt (Variable Yield)"
"50",1954,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"51",1955,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"52",1955,"AGM-28B (W28)",NA,"70-1,450Kt"
"53",1955,"AGM-69A (W69)",NA,"170-200Kt"
"54",1955,"AGM-86B (W80-1)",NA,"5-150Kt (Variable Yield)"
"55",1955,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"56",1956,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"57",1956,"AGM-28B (W28)",NA,"70-1,450Kt"
"58",1956,"AGM-69A (W69)",NA,"170-200Kt"
"59",1956,"AGM-86B (W80-1)",NA,"5-150Kt (Variable Yield)"
"60",1956,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"61",1957,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"62",1957,"AGM-28B (W28)",NA,"70-1,450Kt"
"63",1957,"AGM-69A (W69)",NA,"170-200Kt"
"64",1957,"AGM-86B (W80-1)",NA,"5-150Kt (Variable Yield)"
"65",1957,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"66",1958,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
