"","Year","Missile","Number","Range","CEP","Guidance","Warheads"
"1",1945,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"2",1945,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"3",1945,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"4",1945,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"5",1945,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"6",1945,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"7",1946,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"8",1946,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"9",1946,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"10",1946,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"11",1946,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"12",1946,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"13",1947,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"14",1947,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"15",1947,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"16",1947,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"17",1947,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"18",1947,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"19",1948,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"20",1948,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"21",1948,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"22",1948,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"23",1948,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"24",1948,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"25",1949,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"26",1949,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
